geometryType,hatchSpacing,laserPower,laserVelocity,layerThickness
TTT,0.14,190.0,1800.0,0.03
TTT,0.04,280.0,3460.0,0.03
TTT,0.16,265.0,1440.0,0.03
TTT,0.13,360.0,2210.0,0.03
TTT,0.16,175.0,1450.0,0.03
TTT,0.05,155.0,1700.0,0.03
TTT,0.1,153.0,719.0,0.03
TTT,0.03,125.0,1952.0,0.03
TTT,0.09,122.0,609.0,0.03
TTT,0.03,98.0,1458.0,0.03
TTT,0.18,325.0,781.0,0.03
TTT,0.03,266.0,3781.0,0.03
TTT,0.03,190.0,2648.0,0.03
TTT,0.16,173.0,415.0,0.03
TTT,0.04,254.0,2430.0,0.03
TTT,0.07,133.0,666.0,0.03
TTT,0.13,239.0,643.0,0.03
TTT,0.16,346.0,738.0,0.03
TTT,0.19,351.0,627.0,0.03
TTT,0.07,126.0,559.0,0.03
TTT,0.07,192.0,845.0,0.03
TTT,0.12,287.0,732.0,0.03
TTT,0.18,365.0,614.0,0.03
TTT,0.13,357.0,826.0,0.03
TTT,0.03,338.0,3260.0,0.03
TTT,0.12,357.0,846.0,0.03
TTT,0.04,358.0,2347.0,0.03
TTT,0.08,258.0,776.0,0.03
TTT,0.03,368.0,2895.0,0.03
TTT,0.08,282.0,823.0,0.03
TTT,0.04,117.0,666.0,0.03
TTT,0.12,280.0,2475.0,0.03
TTT,0.05,107.0,1650.0,0.03
TTT,0.18,101.0,695.0,0.03
TTT,0.17,118.0,874.0,0.03
TTT,0.09,239.0,2344.0,0.03
TTT,0.06,204.0,3096.0,0.03
TTT,0.11,354.0,2596.0,0.03
TTT,0.17,323.0,1577.0,0.03
TTT,0.05,234.0,2428.0,0.03
TTT,0.1,346.0,3493.0,0.03
TTT,0.06,164.0,2870.0,0.03
TTT,0.1,310.0,3118.0,0.03
TTT,0.17,298.0,1719.0,0.03
TTT,0.06,196.0,2763.0,0.03
TTT,0.07,268.0,3245.0,0.03
TTT,0.07,198.0,2541.0,0.03
TTT,0.11,134.0,1178.0,0.03
TTT,0.09,211.0,2161.0,0.03
TTT,0.07,162.0,2227.0,0.03
TTT,0.13,252.0,1594.0,0.03
TTT,0.11,277.0,2641.0,0.03
TTT,0.09,62.0,444.0,0.03
TTT,0.05,106.0,1736.0,0.03
TTT,0.11,60.0,539.0,0.03
TTT,0.18,141.0,486.0,0.03
ULI,0.14,370.0,950.0,
ULI,0.14,370.0,1150.0,
ULI,0.14,370.0,1150.0,
ULI,0.14,370.0,1100.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,850.0,
ULI,0.14,370.0,850.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,1050.0,
ULI,0.14,370.0,900.0,
ULI,0.14,370.0,900.0,
ULI,0.14,370.0,1050.0,
ULI,0.14,370.0,1050.0,
ULI,0.14,370.0,1100.0,
ULI,0.14,370.0,1050.0,
ULI,0.14,370.0,1150.0,
ULI,0.14,370.0,900.0,
ULI,0.14,370.0,1100.0,
ULI,0.14,370.0,850.0,
ULI,0.14,370.0,850.0,
ULI,0.14,370.0,1100.0,
ULI,0.14,370.0,950.0,
ULI,0.14,370.0,900.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,1150.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,950.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,950.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,1200.0,
ULI,0.14,370.0,1250.0,
ULI,0.14,370.0,1450.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1550.0,
ULI,0.14,370.0,1350.0,
ULI,0.14,,1550.0,
ULI,0.14,370.0,1200.0,
ULI,0.14,370.0,1250.0,
ULI,0.14,370.0,1400.0,
ULI,0.14,370.0,1450.0,
ULI,0.14,370.0,1450.0,
ULI,0.14,370.0,1250.0,
ULI,0.14,370.0,1350.0,
ULI,0.14,370.0,1400.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1550.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1250.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1350.0,
ULI,0.14,370.0,1400.0,
ULI,0.14,370.0,1550.0,
ULI,0.14,370.0,1200.0,
ULI,0.14,370.0,1400.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1350.0,
ULI,0.14,370.0,1450.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1600.0,
ULI,0.14,370.0,1700.0,
ULI,0.14,370.0,1950.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1900.0,
ULI,0.14,370.0,1950.0,
ULI,0.14,370.0,1600.0,
ULI,0.14,370.0,1900.0,
ULI,0.14,370.0,1950.0,
ULI,0.14,370.0,1900.0,
ULI,0.14,370.0,1650.0,
ULI,0.14,370.0,1700.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1650.0,
ULI,0.14,370.0,1700.0,
ULI,0.14,370.0,1850.0,
ULI,0.14,370.0,1750.0,
ULI,0.14,370.0,1950.0,
ULI,0.14,370.0,1600.0,
ULI,0.14,370.0,1750.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1900.0,
ULI,0.14,370.0,1700.0,
ULI,0.14,370.0,1650.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1850.0,
ULI,0.14,370.0,1750.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,2000.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1300.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,1800.0,
ULI,0.14,370.0,1500.0,
ULI,0.14,370.0,800.0,
ULI,0.14,370.0,1000.0,
ULI,0.14,150.0,730.0,
ULI,0.14,370.0,1200.0,
ULI,0.14,150.0,325.0,
ULI,0.14,150.0,485.0,
ULI,0.14,150.0,570.0,
ULI,0.14,150.0,810.0,
ULI,0.14,150.0,325.0,
ULI,0.14,150.0,485.0,
ULI,0.14,150.0,730.0,
ULI,0.14,280.0,1200.0,
ULI,0.14,150.0,640.0,
ULI,0.14,150.0,730.0,
ULI,0.14,280.0,950.0,
ULI,0.14,280.0,800.0,
ULI,0.14,280.0,1000.0,
ULI,0.14,280.0,650.0,
ULI,0.14,280.0,850.0,
ULI,0.14,280.0,850.0,
ULI,0.14,280.0,600.0,
ULI,0.14,280.0,800.0,
ULI,0.14,280.0,1000.0,
ULI,0.14,280.0,700.0,
ULI,0.14,280.0,700.0,
ULI,0.14,280.0,650.0,
ULI,0.14,280.0,950.0,
ULI,0.14,280.0,1000.0,
ULI,0.14,280.0,700.0,
ULI,0.14,280.0,600.0,
ULI,0.14,280.0,650.0,
ULI,0.14,280.0,900.0,
ULI,0.14,280.0,750.0,
ULI,0.14,280.0,800.0,
ULI,0.14,280.0,900.0,
ULI,0.14,280.0,1000.0,
ULI,0.14,280.0,750.0,
ULI,0.14,280.0,600.0,
ULI,0.14,280.0,900.0,
ULI,0.14,280.0,950.0,
ULI,0.14,280.0,900.0,
ULI,0.14,280.0,1400.0,
ULI,0.14,280.0,1350.0,
ULI,0.14,280.0,1250.0,
ULI,0.14,280.0,1100.0,
ULI,0.14,280.0,1200.0,
ULI,0.14,280.0,1150.0,
ULI,0.14,280.0,1100.0,
ULI,0.14,280.0,1450.0,
ULI,0.14,280.0,1100.0,
ULI,0.14,280.0,1200.0,
ULI,0.14,280.0,1400.0,
ULI,0.14,280.0,1100.0,
ULI,0.14,280.0,1150.0,
ULI,0.14,280.0,1050.0,
ULI,0.14,280.0,1250.0,
ULI,0.14,280.0,1250.0,
ULI,0.14,280.0,1200.0,
ULI,0.14,280.0,1150.0,
ULI,0.14,280.0,1300.0,
ULI,0.14,280.0,1050.0,
ULI,0.14,280.0,1350.0,
ULI,0.14,280.0,1300.0,
ULI,0.14,280.0,1250.0,
ULI,0.14,280.0,1450.0,
ULI,0.14,280.0,1050.0,
ULI,0.14,280.0,1350.0,
ULI,0.14,280.0,1200.0,
ULI,0.14,280.0,1050.0,
ULI,0.14,280.0,1150.0,
