source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
ULI,CMU01.02,CMXMAL00011-02,0.14,370.0,1150.0,,
ULI,CMU01.03,CMXMAL00011-03,0.14,370.0,1150.0,,
ULI,CMU01.04,CMXMAL00011-04,0.14,370.0,1100.0,,
ULI,CMU01.05,CMXMAL00011-05,0.14,370.0,800.0,,
ULI,CMU01.06,CMXMAL00011-06,0.14,370.0,850.0,,
ULI,CMU01.07,CMXMAL00011-07,0.14,370.0,850.0,,
ULI,CMU01.08,CMXMAL00011-08,0.14,370.0,800.0,,
ULI,CMU01.09,CMXMAL00011-09,0.14,370.0,800.0,,
ULI,CMU01.10,CMXMAL00011-10,0.14,370.0,1000.0,,
ULI,CMU01.11,CMXMAL00011-11,0.14,370.0,1050.0,,
ULI,CMU01.12,CMXMAL00011-12,0.14,370.0,900.0,,
ULI,CMU01.13,CMXMAL00011-13,0.14,370.0,900.0,,
ULI,CMU01.14,CMXMAL00011-14,0.14,370.0,1050.0,,
ULI,CMU01.15,CMXMAL00011-15,0.14,370.0,1050.0,,
ULI,CMU01.16,CMXMAL00011-16,0.14,370.0,1100.0,,
ULI,CMU01.17,CMXMAL00011-17,0.14,370.0,1050.0,,
ULI,CMU01.18,CMXMAL00011-18,0.14,370.0,1150.0,,
ULI,CMU01.19,CMXMAL00011-19,0.14,370.0,900.0,,
ULI,CMU01.20,CMXMAL00011-20,0.14,370.0,1100.0,,
ULI,CMU01.21,CMXMAL00011-21,0.14,370.0,850.0,,
ULI,CMU01.22,CMXMAL00011-22,0.14,370.0,850.0,,
ULI,CMU01.23,CMXMAL00011-23,0.14,370.0,1100.0,,
ULI,CMU01.24,CMXMAL00011-24,0.14,370.0,950.0,,
ULI,CMU01.25,CMXMAL00011-25,0.14,370.0,900.0,,
ULI,CMU01.26,CMXMAL00011-26,0.14,370.0,1000.0,,
ULI,CMU01.27,CMXMAL00011-27,0.14,370.0,1150.0,,
ULI,CMU01.28,CMXMAL00011-28,0.14,370.0,1000.0,,
ULI,CMU01.29,CMXMAL00011-29,0.14,370.0,950.0,,
ULI,CMU01.30,CMXMAL00011-30,0.14,370.0,1000.0,,
ULI,CMU01.31,CMXMAL00011-31,0.14,370.0,950.0,,
ULI,CMU01.32,CMXMAL00011-32,0.14,370.0,800.0,,
ULI,CMU02.01,CMXMAL00012-01,0.14,370.0,1200.0,,
ULI,CMU02.02,CMXMAL00012-02,0.14,370.0,1250.0,,
ULI,CMU02.03,CMXMAL00012-03,0.14,370.0,1450.0,,
ULI,CMU02.04,CMXMAL00012-04,0.14,370.0,1500.0,,
ULI,CMU02.05,CMXMAL00012-05,0.14,370.0,1300.0,,
ULI,CMU02.06,CMXMAL00012-06,0.14,370.0,1550.0,,
ULI,CMU02.07,CMXMAL00012-07,0.14,370.0,1350.0,,
ULI,CMU02.08,CMXMAL00012-08,0.14,,1550.0,,
ULI,CMU02.09,CMXMAL00012-09,0.14,370.0,1200.0,,
ULI,CMU02.10,CMXMAL00012-10,0.14,370.0,1250.0,,
ULI,CMU02.11,CMXMAL00012-11,0.14,370.0,1400.0,,
ULI,CMU02.12,CMXMAL00012-12,0.14,370.0,1450.0,,
ULI,CMU02.13,CMXMAL00012-13,0.14,370.0,1450.0,,
ULI,CMU02.14,CMXMAL00012-14,0.14,370.0,1250.0,,
ULI,CMU02.15,CMXMAL00012-15,0.14,370.0,1350.0,,
ULI,CMU02.16,CMXMAL00012-16,0.14,370.0,1400.0,,
ULI,CMU02.17,CMXMAL00012-17,0.14,370.0,1300.0,,
ULI,CMU02.18,CMXMAL00012-18,0.14,370.0,1550.0,,
ULI,CMU02.19,CMXMAL00012-19,0.14,370.0,1500.0,,
ULI,CMU02.20,CMXMAL00012-20,0.14,370.0,1250.0,,
ULI,CMU02.21,CMXMAL00012-21,0.14,370.0,1300.0,,
ULI,CMU02.22,CMXMAL00012-22,0.14,370.0,1350.0,,
ULI,CMU02.24,CMXMAL00012-24,0.14,370.0,1400.0,,
ULI,CMU02.25,CMXMAL00012-25,0.14,370.0,1550.0,,
ULI,CMU02.26,CMXMAL00012-26,0.14,370.0,1200.0,,
ULI,CMU02.27,CMXMAL00012-27,0.14,370.0,1400.0,,
ULI,CMU02.28,CMXMAL00012-28,0.14,370.0,1500.0,,
ULI,CMU02.29,CMXMAL00012-29,0.14,370.0,1350.0,,
ULI,CMU02.30,CMXMAL00012-30,0.14,370.0,1450.0,,
ULI,CMU02.31,CMXMAL00012-31,0.14,370.0,1500.0,,
ULI,CMU02.32,CMXMAL00012-32,0.14,370.0,1300.0,,
ULI,CMU03.01,CMXMAL00013-01,0.14,370.0,1600.0,,
ULI,CMU03.02,CMXMAL00013-02,0.14,370.0,1700.0,,
ULI,CMU03.04,CMXMAL00013-04,0.14,370.0,1950.0,,
ULI,CMU03.05,CMXMAL00013-05,0.14,370.0,1800.0,,
ULI,CMU03.06,CMXMAL00013-06,0.14,370.0,1900.0,,
ULI,CMU03.08,CMXMAL00013-08,0.14,370.0,1950.0,,
ULI,CMU03.09,CMXMAL00013-09,0.14,370.0,1600.0,,
ULI,CMU03.10,CMXMAL00013-10,0.14,370.0,1900.0,,
ULI,CMU03.12,CMXMAL00013-12,0.14,370.0,1950.0,,
ULI,CMU03.13,CMXMAL00013-13,0.14,370.0,1900.0,,
ULI,CMU03.14,CMXMAL00013-14,0.14,370.0,1650.0,,
ULI,CMU03.15,CMXMAL00013-15,0.14,370.0,1700.0,,
ULI,CMU03.16,CMXMAL00013-16,0.14,370.0,1800.0,,
ULI,CMU03.17,CMXMAL00013-17,0.14,370.0,1650.0,,
ULI,CMU03.18,CMXMAL00013-18,0.14,370.0,1700.0,,
ULI,CMU03.19,CMXMAL00013-19,0.14,370.0,1850.0,,
ULI,CMU03.20,CMXMAL00013-20,0.14,370.0,1750.0,,
ULI,CMU03.21,CMXMAL00013-21,0.14,370.0,1950.0,,
ULI,CMU03.22,CMXMAL00013-22,0.14,370.0,1600.0,,
ULI,CMU03.23,CMXMAL00013-23,0.14,370.0,1750.0,,
ULI,CMU03.25,CMXMAL00013-25,0.14,370.0,1800.0,,
ULI,CMU03.26,CMXMAL00013-26,0.14,370.0,1900.0,,
ULI,CMU03.28,CMXMAL00013-28,0.14,370.0,1700.0,,
ULI,CMU03.29,CMXMAL00013-29,0.14,370.0,1650.0,,
ULI,CMU03.30,CMXMAL00013-30,0.14,370.0,1800.0,,
ULI,CMU03.31,CMXMAL00013-31,0.14,370.0,1850.0,,
ULI,CMU03.32,CMXMAL00013-32,0.14,370.0,1750.0,,
ULI,CMU04.01,CMXMAL00014-01,0.14,370.0,1800.0,,
ULI,CMU04.02,CMXMAL00014-02,0.14,370.0,1300.0,,
ULI,CMU04.03,CMXMAL00014-03,0.14,370.0,800.0,,
ULI,CMU04.04,CMXMAL00014-04,0.14,370.0,1800.0,,
ULI,CMU04.05,CMXMAL00014-05,0.14,370.0,1800.0,,
ULI,CMU04.06,CMXMAL00014-06,0.14,370.0,800.0,,
ULI,CMU04.07,CMXMAL00014-07,0.14,370.0,2000.0,,
ULI,CMU04.08,CMXMAL00014-08,0.14,370.0,1000.0,,
ULI,CMU04.09,CMXMAL00014-09,0.14,370.0,2000.0,,
ULI,CMU04.10,CMXMAL00014-10,0.14,370.0,1000.0,,
ULI,CMU04.11,CMXMAL00014-11,0.14,370.0,1300.0,,
ULI,CMU04.12,CMXMAL00014-12,0.14,370.0,2000.0,,
ULI,CMU04.13,CMXMAL00014-13,0.14,370.0,1000.0,,
ULI,CMU04.14,CMXMAL00014-14,0.14,370.0,1300.0,,
ULI,CMU04.15,CMXMAL00014-15,0.14,370.0,1800.0,,
ULI,CMU04.16,CMXMAL00014-16,0.14,370.0,2000.0,,
ULI,CMU04.17,CMXMAL00014-17,0.14,370.0,1300.0,,
ULI,CMU04.18,CMXMAL00014-18,0.14,370.0,1500.0,,
ULI,CMU04.20,CMXMAL00014-20,0.14,370.0,1800.0,,
ULI,CMU04.21,CMXMAL00014-21,0.14,370.0,2000.0,,
ULI,CMU04.22,CMXMAL00014-22,0.14,370.0,1000.0,,
ULI,CMU04.23,CMXMAL00014-23,0.14,370.0,2000.0,,
ULI,CMU04.24,CMXMAL00014-24,0.14,370.0,1300.0,,
ULI,CMU04.26,CMXMAL00014-26,0.14,370.0,1300.0,,
ULI,CMU04.27,CMXMAL00014-27,0.14,370.0,1000.0,,
ULI,CMU04.28,CMXMAL00014-28,0.14,370.0,1500.0,,
ULI,CMU04.29,CMXMAL00014-29,0.14,370.0,1500.0,,
ULI,CMU04.30,CMXMAL00014-30,0.14,370.0,1500.0,,
ULI,CMU04.31,CMXMAL00014-31,0.14,370.0,800.0,,
ULI,CMU04.32,CMXMAL00014-32,0.14,370.0,800.0,,
ULI,CMU04.33,CMXMAL00014-33,0.14,370.0,1800.0,,
ULI,CMU04.34,CMXMAL00014-34,0.14,370.0,1500.0,,
ULI,CMU04.35,CMXMAL00014-35,0.14,370.0,800.0,,
ULI,CMU04.36,CMXMAL00014-36,0.14,370.0,1000.0,,
ULI,CMU05.01,CMXMAL00015-01,0.14,150.0,730.0,,
ULI,CMU05.03,CMXMAL00015-03,0.14,370.0,1200.0,,
ULI,CMU05.04,CMXMAL00015-04,0.14,150.0,325.0,,
ULI,CMU05.06,CMXMAL00015-06,0.14,150.0,485.0,,
ULI,CMU05.09,CMXMAL00015-09,0.14,150.0,570.0,,
ULI,CMU05.11,CMXMAL00015-11,0.14,150.0,810.0,,
ULI,CMU05.12,CMXMAL00015-12,0.14,150.0,325.0,,
ULI,CMU05.18,CMXMAL00015-18,0.14,150.0,485.0,,
ULI,CMU05.19,CMXMAL00015-19,0.14,150.0,730.0,,
ULI,CMU05.24,CMXMAL00015-24,0.14,280.0,1200.0,,
ULI,CMU05.25,CMXMAL00015-25,0.14,150.0,640.0,,
ULI,CMU05.29,CMXMAL00015-29,0.14,150.0,730.0,,
ULI,CMU14.01,CMXMAL00021-01,0.14,280.0,950.0,,
ULI,CMU14.02,CMXMAL00021-02,0.14,280.0,800.0,,
ULI,CMU14.03,CMXMAL00021-03,0.14,280.0,1000.0,,
ULI,CMU14.04,CMXMAL00021-04,0.14,280.0,650.0,,
ULI,CMU14.05,CMXMAL00021-05,0.14,280.0,850.0,,
ULI,CMU14.06,CMXMAL00021-06,0.14,280.0,850.0,,
ULI,CMU14.07,CMXMAL00021-07,0.14,280.0,600.0,,
ULI,CMU14.09,CMXMAL00021-09,0.14,280.0,800.0,,
ULI,CMU14.10,CMXMAL00021-10,0.14,280.0,1000.0,,
ULI,CMU14.11,CMXMAL00021-11,0.14,280.0,700.0,,
ULI,CMU14.12,CMXMAL00021-12,0.14,280.0,700.0,,
ULI,CMU14.13,CMXMAL00021-13,0.14,280.0,650.0,,
ULI,CMU14.14,CMXMAL00021-14,0.14,280.0,950.0,,
ULI,CMU14.15,CMXMAL00021-15,0.14,280.0,1000.0,,
ULI,CMU14.16,CMXMAL00021-16,0.14,280.0,700.0,,
ULI,CMU14.17,CMXMAL00021-17,0.14,280.0,600.0,,
ULI,CMU14.18,CMXMAL00021-18,0.14,280.0,650.0,,
ULI,CMU14.19,CMXMAL00021-19,0.14,280.0,900.0,,
ULI,CMU14.20,CMXMAL00021-20,0.14,280.0,750.0,,
ULI,CMU14.21,CMXMAL00021-21,0.14,280.0,800.0,,
ULI,CMU14.22,CMXMAL00021-22,0.14,280.0,900.0,,
ULI,CMU14.23,CMXMAL00021-23,0.14,280.0,1000.0,,
ULI,CMU14.26,CMXMAL00021-26,0.14,280.0,750.0,,
ULI,CMU14.28,CMXMAL00021-28,0.14,280.0,600.0,,
ULI,CMU14.29,CMXMAL00021-29,0.14,280.0,900.0,,
ULI,CMU14.32,CMXMAL00021-32,0.14,280.0,950.0,,
ULI,CMU14.36,CMXMAL00021-36,0.14,280.0,900.0,,
ULI,CMU15.01,CMXMAL00022-01,0.14,280.0,1400.0,,
ULI,CMU15.02,CMXMAL00022-02,0.14,280.0,1350.0,,
ULI,CMU15.03,CMXMAL00022-03,0.14,280.0,1250.0,,
ULI,CMU15.04,CMXMAL00022-04,0.14,280.0,1100.0,,
ULI,CMU15.05,CMXMAL00022-05,0.14,280.0,1200.0,,
ULI,CMU15.06,CMXMAL00022-06,0.14,280.0,1150.0,,
ULI,CMU15.07,CMXMAL00022-07,0.14,280.0,1100.0,,
ULI,CMU15.08,CMXMAL00022-08,0.14,280.0,1450.0,,
ULI,CMU15.09,CMXMAL00022-09,0.14,280.0,1100.0,,
ULI,CMU15.10,CMXMAL00022-10,0.14,280.0,1200.0,,
ULI,CMU15.11,CMXMAL00022-11,0.14,280.0,1400.0,,
ULI,CMU15.12,CMXMAL00022-12,0.14,280.0,1100.0,,
ULI,CMU15.13,CMXMAL00022-13,0.14,280.0,1150.0,,
ULI,CMU15.15,CMXMAL00022-15,0.14,280.0,1050.0,,
ULI,CMU15.16,CMXMAL00022-16,0.14,280.0,1250.0,,
ULI,CMU15.17,CMXMAL00022-17,0.14,280.0,1250.0,,
ULI,CMU15.19,CMXMAL00022-19,0.14,280.0,1200.0,,
ULI,CMU15.20,CMXMAL00022-20,0.14,280.0,1150.0,,
ULI,CMU15.21,CMXMAL00022-21,0.14,280.0,1300.0,,
ULI,CMU15.22,CMXMAL00022-22,0.14,280.0,1050.0,,
ULI,CMU15.23,CMXMAL00022-23,0.14,280.0,1350.0,,
ULI,CMU15.24,CMXMAL00022-24,0.14,280.0,1300.0,,
ULI,CMU15.25,CMXMAL00022-25,0.14,280.0,1250.0,,
ULI,CMU15.26,CMXMAL00022-26,0.14,280.0,1450.0,,
ULI,CMU15.29,CMXMAL00022-29,0.14,280.0,1050.0,,
ULI,CMU15.31,CMXMAL00022-31,0.14,280.0,1350.0,,
ULI,CMU15.32,CMXMAL00022-32,0.14,280.0,1200.0,,
ULI,CMU15.35,CMXMAL00022-35,0.14,280.0,1050.0,,
ULI,CMU15.36,CMXMAL00022-36,0.14,280.0,1150.0,,
AM Build Parameters,u:C:1000:100:20:20_i:C:999:99:20:20,TMABMX00001,0.02,99.0,999.0,0.02,247.74774774774775
AM Build Parameters,i:C:960:285:0.04:0.11,APLMAK00004,0.11,285.0,960.0,0.04,67.4715909090909
AM Build Parameters,i:C:2100:338:0.04:0.15,APLMAK00002,0.15,338.0,2100.0,0.04,26.825396825396826
AM Build Parameters,i:C:837:350:0.04:0.132,APLMAK00003,0.132,350.0,837.0,0.04,79.19698779913833
AM Build Parameters,d:C:1200:90:30:0.08_i:C:1300:350:30:0.14_c:C:1250:150:30:0,CMXMAL00007,0.14,350.0,1300.0,0.03,64.10256410256409
AM Build Parameters,i:C:1300:370:30:140,CMXMAL00010,0.14,370.0,1300.0,0.03,67.76556776556775
AM Build Parameters,udic:C:1300:370:30:140,CMXMAL00008,0.14,370.0,1300.0,0.03,67.76556776556775
AM Build Parameters,i:C:700:350:40:110,CMXMAG00001-005,0.11,350.0,700.0,0.04,113.63636363636364
AM Build Parameters,i:C:900:350:40:110,CMXMAG00001-006,0.11,350.0,900.0,0.04,88.38383838383838
AM Build Parameters,i:C:1000:350:40:110,CMXMAK00001-010,0.11,350.0,1000.0,0.04,79.54545454545453
AM Build Parameters,i:C:1050:350:40:110,CMXMAK00001-014,0.11,350.0,1050.0,0.04,75.75757575757575
AM Build Parameters,i:C:1100:350:40:110,CMXMAG00001-018,0.11,350.0,1100.0,0.04,72.31404958677686
AM Build Parameters,i:C:1150:350:40:110,CMXMAG00001-022,0.11,350.0,1150.0,0.04,69.1699604743083
AM Build Parameters,i:C:1200:350:40:110,CMXMAG00001-026,0.11,350.0,1200.0,0.04,66.28787878787878
AM Build Parameters,i:C:1250:350:40:110,CMXMAG00001-030,0.11,350.0,1250.0,0.04,63.63636363636363
AM Build Parameters,i:C:1300:350:40:110,CMXMAG00001-034,0.11,350.0,1300.0,0.04,61.188811188811194
AM Build Parameters,i:C:1400:350:40:110,CMXMAG00001-039,0.11,350.0,1400.0,0.04,56.81818181818182
AM Build Parameters,i:P:22:20:370:30:100,APLMAL00001-005,0.1,370.0,,0.03,
AM Build Parameters,i:P:25:20:370:30:100,APLMAL00001-006,0.1,370.0,,0.03,
AM Build Parameters,i:P:30:20:370:30:100,APLMAL00001-007,0.1,370.0,,0.03,
AM Build Parameters,i:P:35:20:370:30:100,APLMAL00001-008,0.1,370.0,,0.03,
AM Build Parameters,i:P:39:20:370:30:100,APLMAL00001-009,0.1,370.0,,0.03,
AM Build Parameters,i:P:16:20:280:30:100,APLMAL00001-015,0.1,280.0,,0.03,
AM Build Parameters,i:P:19:20:280:30:100,APLMAL00001-016,0.1,280.0,,0.03,
AM Build Parameters,i:P:24:20:280:30:100,APLMAL00001-017,0.1,280.0,,0.03,
AM Build Parameters,i:P:28:20:280:30:100,APLMAL00001-018,0.1,280.0,,0.03,
AM Build Parameters,i:P:33:20:280:30:100,APLMAL00001-019,0.1,280.0,,0.03,
AM Build Parameters,i:C:553:250:40:110,CMXMAG00002-044,0.11,250.0,553.0,0.04,102.74535590991287
AM Build Parameters,i:C:756:250:40:110,CMXMAG00002-045,0.11,250.0,756.0,0.04,75.15632515632515
AM Build Parameters,i:C:959:250:40:110,CMXMAG00002-047,0.11,250.0,959.0,0.04,59.24732202104465
