source,uniqueId,igsn,hatchSpacing_mm,laserPower_W,laserVelocity_mm_s,layerThickness_mm,VED_J_per_mm3
NASA TTT,A44_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,250.0,2200.0,0.03,37.87878787878788
NASA TTT,A45_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.04,250.0,2200.0,0.03,94.6969696969697
NASA TTT,A46_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,300.0,2500.0,0.03,66.66666666666667
NASA TTT,A47_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,250.0,800.0,0.03,94.6969696969697
NASA TTT,A48_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,370.0,2500.0,0.03,49.333333333333336
NASA TTT,A49_2022-01-02_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,250.0,1800.0,0.03,57.87037037037037
NASA TTT,A50_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.19,340.0,600.0,0.03,99.41520467836257
NASA TTT,A51_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,280.0,1200.0,0.03,55.55555555555554
NASA TTT,A52_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,280.0,800.0,0.03,83.33333333333333
NASA TTT,A53_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,280.0,1500.0,0.03,77.77777777777779
NASA TTT,B00_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,100.0,3600.0,0.03,30.8641975308642
NASA TTT,B01_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,100.0,1290.0,0.03,86.13264427217916
NASA TTT,B02_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,190.0,3900.0,0.03,54.131054131054135
NASA TTT,B03_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,110.0,2090.0,0.03,25.062656641604008
NASA TTT,B04_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,210.0,590.0,0.03,65.91337099811676
NASA TTT,B05_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,245.0,1810.0,0.03,25.066502967055456
NASA TTT,B07_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,270.0,2570.0,0.03,25.01389660922735
NASA TTT,B08_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.09,175.0,2360.0,0.03,27.46390458254865
NASA TTT,B09_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,365.0,3990.0,0.03,38.11612364243944
NASA TTT,B10_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,110.0,2440.0,0.03,50.09107468123861
NASA TTT,B11_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,140.0,3110.0,0.03,25.008931761343337
NASA TTT,B12_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,100.0,470.0,0.03,118.2033096926714
NASA TTT,B13_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.14,360.0,720.0,0.03,119.04761904761905
NASA TTT,B14_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,245.0,3280.0,0.03,82.99457994579947
NASA TTT,B15_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,275.0,830.0,0.03,61.35653726015172
NASA TTT,B17_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.13,215.0,2190.0,0.03,25.172696405573124
NASA TTT,B18_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,260.0,3500.0,0.03,35.374149659863946
NASA TTT,B19_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,225.0,2650.0,0.03,40.43126684636118
NASA TTT,B20_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,310.0,2290.0,0.03,25.068736859129874
NASA TTT,B21_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.03,170.0,3000.0,0.03,62.96296296296297
NASA TTT,B22_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.18,165.0,1220.0,0.03,25.045537340619312
NASA TTT,B23_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.11,310.0,2730.0,0.03,34.410034410034406
NASA TTT,B24_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.1,145.0,1600.0,0.03,30.208333333333336
NASA TTT,B25_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,240.0,1120.0,0.03,119.04761904761905
NASA TTT,B26_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.06,125.0,1280.0,0.03,54.25347222222223
NASA TTT,B27_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.08,310.0,3770.0,0.03,34.261715296198055
NASA TTT,B28_2022-01-06_JHUAPL_EOSM290_Ti64_Cylinder,,0.07,365.0,1590.0,0.03,109.31416591793949
