geometryType,hatchSpacing,laserPower,laserVelocity,layerThickness
TTT,0.05,234,2428,0.03
TTT,0.1,346,3493,0.03
TTT,0.06,164,2870,0.03
TTT,0.1,310,3118,0.03
TTT,0.17,298,1719,0.03
TTT,0.06,196,2763,0.03
TTT,0.07,268,3245,0.03
TTT,0.07,198,2541,0.03
TTT,0.11,134,1178,0.03
TTT,0.09,211,2161,0.03
TTT,0.07,162,2227,0.03
TTT,0.13,252,1594,0.03
TTT,0.11,277,2641,0.03
TTT,0.09,62,444,0.03
TTT,0.05,106,1736,0.03
TTT,0.11,60,539,0.03
TTT,0.18,141,486,0.03
